Edad Ult Cos,Variedad,Suelo,Zona,Tenencia,Vejez,Destino 1=Semilla,Cod. T.Cultivo,Dist Km,Tipo Quema,T.Corte,Dosis Madurante,Lluvias (2 Meses Ant.),Lluvias Ciclo,Lluvias 0 -3,Lluvias tres a seis,Lluvias seis a nueve,Luvias 9 -FC,M3 Riego,DDUlt.Riego,Período,TCH,%Sac.Caña,Variedad_cod,Suelo_cod,Zona_cod,Tipo Quema_cod,T.Corte_cod
9.76,SP71-6949,CERRITO ,IP01,11.0,2.498,0,1.0,9.5,NO DEF.,NO DEF.,0.0,93.0,1642.0,402.0,727.0,498.0,15.0,1800.0,101,201708,104.272,10.82,54,13,1,0,2
14.65,CC01-1940,DESCONOCIDO,IP05,51.0,2.7075,0,1.0,32.7,NO DEF.,NO DEF.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201708,190.349336,10.77,6,22,4,0,2
14.52,CC93-4181,PALMIRA ,IP05,31.0,2.7075,0,1.0,23.0,NO DEF.,NO DEF.,0.0,53.0,1528.0,80.0,376.0,275.0,797.0,11253.6,180,201708,156.613636,14.6,39,68,4,0,2
14.55,CC93-4418,CORINTIAS ,IP05,31.0,2.7075,0,1.0,23.0,NO DEF.,NO DEF.,1.8,53.0,1532.0,84.0,376.0,275.0,797.0,0.0,0,201708,159.272727,14.32,40,19,4,0,2
12.65,CC85-92,GALPON ,IP03,51.0,3.421,0,1.0,20.2,NO DEF.,NO DEF.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201708,145.0,14.31,34,32,3,0,2
18.83,CC01-1940,BURRIGA ,IP03,31.0,2.59,0,1.0,45.6,VERDE,MECANIZADO,0.0,149.0,1721.0,153.0,249.0,97.0,1222.0,0.0,0,201708,233.333333,13.47,6,8,3,4,1
17.08,CC01-1940,DESCONOCIDO,IP06,51.0,2.199,0,1.0,17.0,VERDE,MECANIZADO,0.0,66.0,610.0,0.0,0.0,0.0,610.0,0.0,0,201708,243.88,13.41,6,22,5,4,1
13.9,CC01-1940,CORINTIAS ,IP06,11.0,2.511,0,1.0,6.5,NO DEF.,NO DEF.,0.0,54.0,1061.0,85.0,303.0,294.0,379.0,0.0,0,201708,163.542253,13.08,6,19,5,0,2
12.68,CC85-92,CORINTIAS ,IP03,51.0,3.421,0,1.0,20.5,NO DEF.,NO DEF.,0.0,46.0,717.0,0.0,21.0,440.0,256.0,0.0,0,201708,120.633408,12.64,34,19,3,0,2
11.24,CC93-4181,CORINTIAS ,IP05,51.0,2.7075,0,1.0,29.2,NO DEF.,NO DEF.,0.0,56.0,898.0,385.0,77.0,363.0,73.0,19656.0,146,201708,157.987623,12.23,39,19,4,0,2
16.79,CC85-92,VILLA,IP03,51.0,3.421,0,1.0,47.6,NO DEF.,NO DEF.,0.0,126.0,1620.0,189.0,148.0,432.0,851.0,0.0,0,201708,126.0,11.58,34,100,3,0,2
14.72,CC85-92,DESCONOCIDO,IP05,51.0,2.7075,0,1.0,31.5,NO DEF.,NO DEF.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201708,126.123637,14.0098,34,22,4,0,2
15.21,CC93-4418,PALMIRA ,IP02,51.0,1.815,0,1.0,15.0,NO DEF.,NO DEF.,0.0,90.0,662.0,54.0,0.0,0.0,608.0,0.0,0,201708,155.608768,13.09,40,68,2,0,2
12.39,CC01-1940,FLORIDA,IP02,51.0,1.815,0,1.0,15.0,NO DEF.,NO DEF.,0.0,90.0,608.0,0.0,0.0,410.0,198.0,0.0,0,201708,181.283333,12.62,6,29,2,0,2
14.42,CC00-3257,GALPON ,IP06,31.0,2.511,0,1.0,19.0,NO DEF.,NO DEF.,1.4,62.0,1434.0,66.0,717.0,192.0,459.0,0.0,0,201708,144.797619,12.9,1,32,5,0,2
16.13,CC93-4418,DESCONOCIDO,IP05,51.0,2.7075,0,1.0,32.7,NO DEF.,NO DEF.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201708,149.567833,12.82,40,22,4,0,2
13.08,CC01-1940,GALPON ,IP02,31.0,1.815,0,1.0,12.9,NO DEF.,NO DEF.,1.2,48.0,1016.0,109.0,222.0,322.0,363.0,0.0,0,201708,132.833333,12.53,6,32,2,0,2
14.16,CC01-1940,GALPON ,IP05,51.0,2.7075,0,1.0,32.7,NO DEF.,NO DEF.,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201708,144.373949,12.3,6,32,4,0,2
14.09,CC01-1940,GALPON ,IP05,51.0,2.7075,0,1.0,32.7,NO DEF.,NO DEF.,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201708,169.587242,12.23,6,32,4,0,2
16.07,CC01-1940,DESCONOCIDO,IP05,51.0,2.7075,0,1.0,32.7,NO DEF.,NO DEF.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201708,183.914364,12.1,6,22,4,0,2
13.54,CC85-92,CORINTIAS ,IP06,51.0,2.511,0,1.0,7.3,NO DEF.,NO DEF.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201708,127.048076,13.81,34,19,5,0,2
14.95,CC01-1940,DESCONOCIDO,IP03,81.0,3.421,0,1.0,33.1,NO DEF.,NO DEF.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201708,215.695906,12.38,6,22,3,0,2
9.26,CC85-92,DESCONOCIDO,IP05,81.0,2.7075,0,1.0,13.8,Q.ACCIDENTAL,NO DEF.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201708,129.128571,11.96,34,22,4,1,2
13.08,CC84-75,DESCONOCIDO,IP05,81.0,2.7075,0,1.0,30.5,NO DEF.,NO DEF.,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201708,148.932773,12.1,33,22,4,0,2
13.21,CC01-1940,DESCONOCIDO,IP03,81.0,3.421,0,1.0,33.1,NO DEF.,NO DEF.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201708,158.666666,14.23,6,22,3,0,2
15.54,CC01-1940,DESCONOCIDO,IP03,81.0,3.421,0,1.0,33.1,NO DEF.,NO DEF.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201708,228.261538,12.88,6,22,3,0,2
13.63,CC84-75,DESCONOCIDO,IP05,81.0,2.7075,0,1.0,30.5,NO DEF.,NO DEF.,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201708,139.037306,11.52,33,22,4,0,2
15.08,CC01-1940,DESCONOCIDO,IP03,81.0,3.421,0,1.0,33.1,NO DEF.,NO DEF.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201708,210.5625,13.0,6,22,3,0,2
15.08,CC01-1940,DESCONOCIDO,IP03,81.0,3.421,0,1.0,33.1,NO DEF.,NO DEF.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201708,213.480392,12.14,6,22,3,0,2
15.08,CC01-1940,DESCONOCIDO,IP03,81.0,3.421,0,1.0,33.1,NO DEF.,NO DEF.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201708,216.530172,12.11,6,22,3,0,2
15.11,CC01-1940,DESCONOCIDO,IP03,81.0,3.421,0,1.0,33.1,NO DEF.,NO DEF.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201709,214.078571,12.27,6,22,3,0,2
14.36,CC01-1940,GALPON ,IP05,51.0,2.7075,0,1.0,32.7,NO DEF.,NO DEF.,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201709,137.470464,12.0951,6,32,4,0,2
12.98,CC85-92,MANUELITA ,IP03,51.0,3.421,0,1.0,44.4,NO DEF.,NO DEF.,0.0,0.0,934.0,299.0,304.0,214.0,117.0,21600.0,200,201709,17.118437,10.8,34,54,3,0,2
11.3,CC85-92,VEGA,IP02,51.0,11.0,0,1.0,4.3,VERDE,MECANIZADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201709,105.933333,14.048,34,99,2,4,1
14.23,CC00-3885,NIMA ,IP06,11.0,10.478,0,1.0,6.5,Q.PROGRAMADA,MANUAL,1.2,38.0,1061.0,85.0,303.0,294.0,379.0,3628.8,192,201709,146.425806,15.19,3,60,5,2,0
16.72,CC01-1940,NIMA ,IP06,11.0,18.167,0,1.0,6.5,Q.PROGRAMADA,MANUAL,0.0,38.0,1386.0,333.0,152.0,248.0,653.0,1137.6,96,201709,147.153846,14.983,6,60,5,2,0
18.04,CC01-1940,GUABITO,IP03,11.0,3.451,0,1.0,36.2,VERDE,MECANIZADO,0.0,105.0,1755.0,264.0,68.0,429.0,994.0,6786.0,336,201709,262.696078,13.766,6,36,3,4,1
14.46,CC93-4418,MARSELLA,IP05,11.0,3.261,0,1.0,34.7,VERDE,MECANIZADO,1.7,13.0,833.0,65.0,226.0,165.0,377.0,8316.0,179,201709,121.798638,13.0595,40,56,4,4,1
14.23,VARIAS,NIMA ,IP06,11.0,16.428,0,1.0,6.5,Q.PROGRAMADA,MANUAL,1.2,30.0,1245.0,110.0,430.0,309.0,396.0,7430.4,194,201709,140.99423,12.9133,56,60,5,2,0
14.23,CC01-1940,NIMA ,IP06,11.0,28.008,0,1.0,6.5,Q.PROGRAMADA,MANUAL,1.2,30.0,1245.0,110.0,430.0,339.0,366.0,7887.6,192,201709,186.402834,14.3719,6,60,5,2,0
11.83,CC93-4418,CORINTIAS ,IP03,51.0,2.063,0,1.0,16.9,VERDE,MECANIZADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201709,137.255319,13.661,40,19,3,4,1
14.32,CC01-1940,JUANCHITO ,IP05,11.0,2.818,0,1.0,34.7,VERDE,MECANIZADO,1.7,25.0,845.0,65.0,262.0,129.0,389.0,0.0,0,201709,169.657894,13.2467,6,48,4,4,1
13.83,CC01-1940,ESMERALDA,IP06,11.0,10.434,0,1.0,6.5,Q.PROGRAMADA,MANUAL,1.2,48.0,1152.0,173.0,271.0,325.0,383.0,12499.2,181,201709,185.233215,13.201,6,26,5,2,0
14.92,CC01-1940,GALPON ,IP03,31.0,87.987,0,1.0,27.5,Q.ACCIDENTAL,MECANIZADO,1.4,73.0,1180.0,70.0,292.0,235.0,583.0,182293.2,180,201709,174.819436,12.7759,6,32,3,1,1
13.8,RB73-2223,NIMA ,IP06,11.0,23.917,0,1.0,6.5,Q.PROGRAMADA,MANUAL,1.2,38.0,1053.0,152.0,248.0,301.0,352.0,0.0,0,201709,140.717444,12.7488,51,60,5,2,0
14.69,CC85-92,CORINTIAS ,IP06,11.0,31.247,0,1.0,6.5,Q.PROGRAMADA,MANUAL,1.2,38.0,1061.0,66.0,286.0,252.0,457.0,3294.0,187,201709,124.839662,12.0081,34,19,5,2,0
14.82,CC01-1940,GUABITO,IP03,11.0,5.862,0,1.0,36.2,VERDE,MECANIZADO,0.0,105.0,1491.0,93.0,450.0,259.0,689.0,10224.0,335,201709,208.257391,11.7856,6,36,3,4,1
14.32,CC85-92,ESMERALDA,IP06,11.0,8.778,0,1.0,6.5,Q.PROGRAMADA,MANUAL,1.2,40.0,1304.0,102.0,503.0,297.0,402.0,0.0,0,201709,132.084302,13.903,34,26,5,2,0
14.88,CC85-92,DESCONOCIDO,IP03,51.0,20.287,0,1.0,26.2,Q.PROGRAMADA,MECANIZADO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201709,140.076842,13.7199,34,22,3,2,1
14.32,CC01-1940,LA CABANA,IP03,51.0,3.421,0,1.0,22.1,NO DEF.,NO DEF.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201709,189.818062,12.6024,6,49,3,0,2
13.96,CC85-92,CORINTIAS ,IP05,31.0,2.7075,0,1.0,36.4,NO DEF.,NO DEF.,0.0,9.0,1111.0,156.0,299.0,384.0,272.0,48538.2,190,201709,153.462369,12.6,34,19,4,0,2
13.04,CC01-1940,BURRIGA ,IP03,51.0,34.211,0,1.0,46.0,Q.ACCIDENTAL,MECANIZADO,0.0,119.0,1244.0,173.0,350.0,416.0,305.0,36288.0,86,201709,169.124242,12.3698,6,8,3,1,1
15.57,CC01-1940,CORINTIAS ,IP06,11.0,32.416,0,1.0,8.0,Q.PROGRAMADA,MANUAL,1.2,45.0,1485.0,121.0,296.0,295.0,773.0,2268.0,380,201709,176.137681,11.803,6,19,5,2,0
19.78,CC85-92,OVEJERA,IP05,91.0,51.435,0,1.0,20.0,Q.ACCIDENTAL,MECANIZADO,1.0,35.0,1110.0,130.0,145.0,80.0,755.0,50853.6,366,201709,105.07669,11.7177,34,64,4,1,1
19.75,CC93-4181,DESCONOCIDO,IP05,91.0,48.646,0,1.0,20.0,Q.ACCIDENTAL,MECANIZADO,1.0,43.0,1253.0,136.0,184.0,152.0,781.0,25812.0,369,201709,130.717171,10.315,39,22,4,1,1
