variedad,edad,cortes,lluvias,grupo_tenencia,pct_diatrea,tipocorte,madurada,dosismad,semsmad,vejez,mes,me,TCH,sacarosa,nivel_TCH,nivel_sacarosa,variedad_cod,tipocorte_cod,madurada_cod,nivel_TCH_num,nivel_sacarosa_num
CC01-1940,11.9,2,167,2,3.0,Mecanizado Verde,SI,1.7,7.7,3.1,6,8.8,147,12.5,Medio,Medio,0,0,0,1,1
CC01-1940,12.0,3,224,2,1.0,Mecanizado Verde,SI,1.4,7.6,2.7,6,11.1,165,12.7,Alto,Medio,0,0,0,2,1
CC01-1940,11.4,4,81,2,2.7,Mecanizado Verde,SI,0.8,5.9,2.8,6,8.0,174,12.7,Alto,Medio,0,0,0,2,1
CC01-1940,11.7,2,119,2,12.4,Mecanizado Verde,SI,1.0,5.4,2.0,4,12.7,146,11.4,Medio,Bajo,0,0,0,1,0
CC01-1940,12.8,3,439,2,2.5,Mecanizado Verde,SI,1.4,12.1,2.5,5,9.7,128,12.7,Bajo,Medio,0,0,0,0,1
CC01-1940,12.6,4,291,2,3.0,Mecanizado Verde,SI,1.7,7.1,3.4,6,7.3,128,12.9,Bajo,Medio,0,0,0,0,1
CC01-1940,13.7,5,169,2,1.0,Mecanizado Verde,SI,1.2,13.3,14.7,9,7.7,154,12.9,Alto,Medio,0,0,0,2,1
CC01-1940,15.2,3,524,2,2.0,Mecanizado Verde,SI,1.4,22.6,3.2,8,10.5,134,13.3,Medio,Alto,0,0,0,1,2
CC01-1940,11.8,4,63,2,3.0,Mecanizado Verde,SI,1.5,8.0,2.3,8,12.9,141,13.1,Medio,Medio,0,0,0,1,1
CC01-1940,12.6,6,125,2,3.2,Mecanizado Verde,SI,0.8,11.1,2.7,10,8.5,137,13.3,Medio,Alto,0,0,0,1,2
CC01-1940,14.9,1,580,2,2.6,Mecanizado Verde,SI,1.4,15.6,2.8,6,10.5,174,13.4,Alto,Alto,0,0,0,2,2
CC01-1940,11.7,3,190,2,5.5,Mecanizado Verde,SI,1.4,7.7,39.6,6,8.0,170,12.0,Alto,Bajo,0,0,0,2,0
CC01-1940,11.5,4,81,2,3.6,Mecanizado Verde,SI,0.8,6.4,2.2,6,7.5,180,12.3,Alto,Bajo,0,0,0,2,0
CC01-1940,11.8,3,50,2,3.9,Mecanizado Verde,SI,1.5,7.9,3.7,8,9.3,151,13.3,Medio,Alto,0,0,0,1,2
CC01-1940,12.0,1,0,3,2.4,Mecanizado Verde,SI,0.8,5.3,5.3,6,9.8,138,11.9,Medio,Bajo,0,0,0,1,0
CC01-1940,11.4,2,0,3,2.4,Mecanizado Verde,SI,0.8,5.0,9.5,6,10.4,166,11.5,Alto,Bajo,0,0,0,2,0
CC01-1940,13.5,1,506,2,3.0,Mecanizado Verde,SI,1.2,8.7,2.7,6,10.3,184,11.3,Alto,Bajo,0,0,0,2,0
CC01-1940,11.9,2,167,2,2.9,Mecanizado Verde,SI,1.7,7.7,5.4,6,9.0,155,12.9,Alto,Medio,0,0,0,2,1
CC01-1940,11.9,3,224,2,2.9,Mecanizado Verde,SI,1.4,7.4,2.3,6,7.9,171,11.9,Alto,Bajo,0,0,0,2,0
CC01-1940,11.4,4,51,2,2.4,Mecanizado Verde,SI,0.8,5.7,2.2,6,13.0,171,12.7,Alto,Medio,0,0,0,2,1
CC01-1940,12.0,6,94,2,4.0,Mecanizado Verde,SI,0.8,8.6,2.0,9,7.9,144,13.0,Medio,Medio,0,0,0,1,1
CC01-1940,11.7,5,57,2,3.2,Mecanizado Verde,SI,1.2,7.1,34.1,9,6.5,149,13.7,Medio,Alto,0,0,0,1,2
CC01-1940,12.5,2,354,2,4.3,Mecanizado Verde,SI,1.4,9.9,2.6,11,10.2,176,11.9,Alto,Bajo,0,0,0,2,0
CC01-1940,11.5,4,190,2,3.5,Mecanizado Verde,SI,1.2,8.1,2.1,11,12.1,159,12.8,Alto,Medio,0,0,0,2,1
CC01-1940,11.6,5,153,2,3.2,Mecanizado Verde,SI,1.2,6.0,2.6,11,11.9,155,12.2,Alto,Bajo,0,0,0,2,0
CC01-1940,12.6,6,206,2,4.3,Mecanizado Verde,SI,1.0,11.6,2.4,12,10.6,157,12.6,Alto,Medio,0,0,0,2,1
CC01-1940,11.7,4,190,2,3.5,Mecanizado Verde,SI,1.2,8.4,5.4,11,10.2,162,12.3,Alto,Bajo,0,0,0,2,0
CC01-1940,12.1,5,176,2,3.2,Mecanizado Verde,SI,1.2,8.1,10.7,11,9.6,163,11.8,Alto,Bajo,0,0,0,2,0
CC01-1940,12.2,6,173,2,7.1,Mecanizado Verde,SI,0.8,7.9,1.8,12,9.8,150,13.2,Medio,Alto,0,0,0,1,2
CC01-1940,13.1,1,461,2,3.0,Mecanizado Verde,SI,1.2,5.1,3.0,5,8.8,157,11.4,Alto,Bajo,0,0,0,2,0
CC01-1940,12.1,2,291,2,5.6,Mecanizado Verde,SI,1.0,6.9,3.7,5,9.3,147,12.3,Medio,Bajo,0,0,0,1,0
CC01-1940,11.8,4,122,2,4.3,Mecanizado Verde,SI,0.8,4.9,1.6,5,9.4,140,12.2,Medio,Bajo,0,0,0,1,0
CC01-1940,12.8,2,0,3,3.1,Mecanizado Verde,SI,0.8,6.6,2.5,1,8.2,143,12.1,Medio,Bajo,0,0,0,1,0
CC01-1940,12.4,4,113,3,3.1,Mecanizado Verde,SI,0.8,8.7,8.7,1,12.7,133,12.6,Bajo,Medio,0,0,0,0,1
CC01-1940,13.3,2,0,3,5.9,Mecanizado Verde,SI,1.0,13.9,2.6,7,11.2,164,12.0,Alto,Bajo,0,0,0,2,0
CC01-1940,12.3,2,24,3,3.1,Mecanizado Verde,SI,0.8,8.6,12.4,1,9.7,122,12.9,Bajo,Medio,0,0,0,0,1
CC01-1940,12.1,2,46,3,1.0,Mecanizado Verde,SI,1.0,8.7,2.6,9,7.9,144,13.1,Medio,Medio,0,0,0,1,1
CC01-1940,12.1,2,46,3,1.0,Mecanizado Verde,SI,1.0,8.7,2.8,9,7.4,140,13.7,Medio,Alto,0,0,0,1,2
CC01-1940,17.1,3,0,3,3.1,Mecanizado Verde,SI,1.4,12.3,4.6,7,9.0,100,11.6,Bajo,Bajo,0,0,0,0,0
CC01-1940,17.3,3,0,3,3.1,Mecanizado Verde,SI,1.4,13.1,5.1,7,7.0,101,12.1,Bajo,Bajo,0,0,0,0,0
CC01-1940,11.4,5,16,2,3.2,Mecanizado Verde,SI,1.2,4.3,7.5,9,5.6,131,13.5,Bajo,Alto,0,0,0,0,2
CC01-1940,15.6,3,369,2,12.8,Mecanizado Verde,SI,1.2,18.4,3.2,10,7.1,159,13.4,Alto,Alto,0,0,0,2,2
CC01-1940,12.8,1,91,2,3.2,Mecanizado Verde,SI,0.8,7.0,20.1,8,6.9,136,12.8,Medio,Medio,0,0,0,1,1
CC01-1940,13.0,2,100,2,2.6,Mecanizado Verde,SI,0.8,11.9,3.0,9,6.2,122,14.1,Bajo,Alto,0,0,0,0,2
CC01-1940,12.6,2,82,2,10.3,Mecanizado Verde,SI,1.3,8.4,5.2,10,7.9,134,12.5,Medio,Medio,0,0,0,1,1
CC01-1940,11.3,5,16,2,2.2,Mecanizado Verde,SI,1.2,4.0,25.3,9,8.4,121,13.1,Bajo,Medio,0,0,0,0,1
CC01-1940,12.3,6,129,2,3.2,Mecanizado Verde,SI,0.8,10.0,3.6,1,8.5,115,11.6,Bajo,Bajo,0,0,0,0,0
CC01-1940,11.2,5,20,2,2.3,Mecanizado Verde,SI,1.2,6.1,22.7,1,12.2,115,11.7,Bajo,Bajo,0,0,0,0,0
CC01-1940,11.5,4,20,2,3.2,Mecanizado Verde,SI,1.2,6.0,2.5,1,8.3,130,12.3,Bajo,Bajo,0,0,0,0,0
CC01-1940,12.5,5,129,2,3.2,Mecanizado Verde,SI,0.8,10.7,3.3,1,9.4,143,14.0,Medio,Alto,0,0,0,1,2
CC01-1940,13.9,1,104,2,10.3,Mecanizado Verde,SI,1.3,7.3,2.6,10,6.4,170,12.9,Alto,Medio,0,0,0,2,1
CC01-1940,11.5,4,20,2,3.2,Mecanizado Verde,SI,1.2,6.1,48.2,1,10.9,119,13.2,Bajo,Alto,0,0,0,0,2
CC01-1940,12.2,5,129,2,3.2,Mecanizado Verde,SI,0.8,9.4,2.6,1,11.2,132,13.5,Bajo,Alto,0,0,0,0,2
CC01-1940,12.7,1,111,2,7.2,Mecanizado Verde,SI,1.5,8.1,42.2,2,8.3,161,12.7,Alto,Medio,0,0,0,2,1
CC01-1940,11.8,2,64,2,2.1,Mecanizado Verde,SI,1.2,6.4,2.3,2,8.8,114,13.3,Bajo,Alto,0,0,0,0,2
CC01-1940,12.6,2,77,2,15.5,Mecanizado Verde,SI,1.3,7.3,3.0,10,6.5,146,12.7,Medio,Medio,0,0,0,1,1
CC01-1940,11.3,6,60,2,4.1,Mecanizado Verde,SI,0.8,3.1,2.4,6,9.5,130,12.5,Bajo,Medio,0,0,0,0,1
CC01-1940,11.4,5,61,2,3.2,Mecanizado Verde,SI,0.8,3.7,2.8,6,9.7,161,12.6,Alto,Medio,0,0,0,2,1
CC01-1940,12.6,1,47,2,2.7,Mecanizado Verde,SI,0.5,6.1,2.8,9,8.1,139,13.5,Medio,Alto,0,0,0,1,2
CC01-1940,11.9,2,0,3,2.2,Mecanizado Verde,SI,0.8,9.1,4.0,9,7.9,135,11.5,Medio,Bajo,0,0,0,1,0
